ds,y
2024-10-15,26250.0
2024-10-16,26416.0
2024-10-17,26416.0
2024-10-18,26416.0
2024-10-19,26416.0
2024-10-20,26416.0
2024-10-21,26416.0
2024-10-22,26416.0
2024-10-23,26416.0
2024-10-24,26416.0
2024-10-25,26416.0
2024-10-26,26416.0
2024-10-27,26416.0
2024-10-28,26333.0
2024-10-29,26333.0
2024-10-30,26250.0
2024-10-31,26083.0
2024-11-01,26083.0
2024-11-02,26083.0
2024-11-03,26083.0
2024-11-04,26416.0
2024-11-05,26416.0
2024-11-06,26250.0
2024-11-07,26250.0
2024-11-08,26250.0
2024-11-09,26250.0
2024-11-10,26416.0
2024-11-11,26250.0
2024-11-12,26250.0
2024-11-13,26250.0
2024-11-14,26083.0
2024-11-15,26250.0
2024-11-16,26250.0
2024-11-17,26250.0
2024-11-18,26416.0
2024-11-19,26416.0
2024-11-20,26416.0
2024-11-21,26416.0
2024-11-22,26250.0
2024-11-23,26250.0
2024-11-24,26083.0
2024-11-25,26083.0
2024-11-26,26250.0
2024-11-27,26250.0
2024-11-28,26083.0
2024-11-29,26166.0
2024-11-30,26000.0
2024-12-01,26083.0
2024-12-02,26000.0
2024-12-03,26000.0
2024-12-04,25916.0
2024-12-05,26416.0
2024-12-06,26333.0
2024-12-07,26333.0
2024-12-08,26333.0
2024-12-09,26333.0
